"PLAN_CARRIER_CODE","PLAN_FLIGHT_NUMBER","PLAN_FLIGHT_NUMBER_CHAR4","PLAN_FLIGHT_SEQ_NUMBER","PLAN_DEPARTURE_DATETIME_LOCAL","PLAN_DEPARTURE_DATE_LOCAL","PLAN_DEPARTURE_TIME_LOCAL","PLAN_DEPARTURE_DATETIME_UTC","PLAN_DEPARTURE_DATE_UTC","PLAN_DEPARTURE_TIME_UTC","PLAN_ARRIVAL_DATETIME_LOCAL","PLAN_ARRIVAL_DATE_LOCAL","PLAN_ARRIVAL_TIME_LOCAL","PLAN_ARRIVAL_DATETIME_UTC","PLAN_ARRIVAL_DATE_UTC","PLAN_ARRIVAL_TIME_UTC","PLAN_DEPARTURE_STATION","PLAN_ARRIVAL_STATION","PLAN_START_OF_OPERATION","PLAN_END_OF_OPERATION","PLAN_DAYS_OF_OPERATION","PLAN_AC_OWNER","PLAN_SERVICE_TYPE","PLAN_AC_TYPE"
"AY",1980,"1980","01",25.11.2017 01:20:00,25.11.2017 00:00:00,01.01.1900 01:20:00,24.11.2017 23:20:00,24.11.2017 00:00:00,01.01.1900 23:20:00,25.11.2017 06:00:00,25.11.2017 00:00:00,01.01.1900 06:00:00,25.11.2017 04:00:00,25.11.2017 00:00:00,01.01.1900 04:00:00,"TLV","HEL",30.10.2017 00:00:00,22.12.2017 00:00:00,"1   5  ","AY","J","319"
"AY",142,"0142","01",25.11.2017 09:05:00,25.11.2017 00:00:00,01.01.1900 09:05:00,25.11.2017 02:05:00,25.11.2017 00:00:00,01.01.1900 02:05:00,25.11.2017 14:55:00,25.11.2017 00:00:00,01.01.1900 14:55:00,25.11.2017 12:55:00,25.11.2017 00:00:00,01.01.1900 12:55:00,"BKK","HEL",29.10.2017 00:00:00,24.03.2018 00:00:00,"1234567","AY","J","359"
"AY",88,"0088","01",25.11.2017 10:05:00,25.11.2017 00:00:00,01.01.1900 10:05:00,25.11.2017 02:05:00,25.11.2017 00:00:00,01.01.1900 02:05:00,25.11.2017 14:20:00,25.11.2017 00:00:00,01.01.1900 14:20:00,25.11.2017 12:20:00,25.11.2017 00:00:00,01.01.1900 12:20:00,"PVG","HEL",29.10.2017 00:00:00,24.12.2017 00:00:00,"1234567","AY","J","359"
"AY",42,"0042","01",25.11.2017 11:05:00,25.11.2017 00:00:00,01.01.1900 11:05:00,25.11.2017 02:05:00,25.11.2017 00:00:00,01.01.1900 02:05:00,25.11.2017 14:15:00,25.11.2017 00:00:00,01.01.1900 14:15:00,25.11.2017 12:15:00,25.11.2017 00:00:00,01.01.1900 12:15:00,"ICN","HEL",29.10.2017 00:00:00,24.12.2017 00:00:00,"1234567","AY","J","359"
"AY",92,"0092","01",25.11.2017 10:25:00,25.11.2017 00:00:00,01.01.1900 10:25:00,25.11.2017 02:25:00,25.11.2017 00:00:00,01.01.1900 02:25:00,25.11.2017 14:05:00,25.11.2017 00:00:00,01.01.1900 14:05:00,25.11.2017 12:05:00,25.11.2017 00:00:00,01.01.1900 12:05:00,"CKG","HEL",30.10.2017 00:00:00,23.12.2017 00:00:00,"1  4 6 ","AY","J","333"
"AY",78,"0078","01",25.11.2017 11:45:00,25.11.2017 00:00:00,01.01.1900 11:45:00,25.11.2017 02:45:00,25.11.2017 00:00:00,01.01.1900 02:45:00,25.11.2017 15:10:00,25.11.2017 00:00:00,01.01.1900 15:10:00,25.11.2017 13:10:00,25.11.2017 00:00:00,01.01.1900 13:10:00,"KIX","HEL",29.10.2017 00:00:00,24.12.2017 00:00:00,"12 4 67","AY","J","333"
"AY",74,"0074","01",25.11.2017 11:55:00,25.11.2017 00:00:00,01.01.1900 11:55:00,25.11.2017 02:55:00,25.11.2017 00:00:00,01.01.1900 02:55:00,25.11.2017 15:20:00,25.11.2017 00:00:00,01.01.1900 15:20:00,25.11.2017 13:20:00,25.11.2017 00:00:00,01.01.1900 13:20:00,"NRT","HEL",29.10.2017 00:00:00,24.12.2017 00:00:00,"1234567","AY","J","359"
"AY",80,"0080","01",25.11.2017 11:55:00,25.11.2017 00:00:00,01.01.1900 11:55:00,25.11.2017 02:55:00,25.11.2017 00:00:00,01.01.1900 02:55:00,25.11.2017 15:10:00,25.11.2017 00:00:00,01.01.1900 15:10:00,25.11.2017 13:10:00,25.11.2017 00:00:00,01.01.1900 13:10:00,"NGO","HEL",29.10.2017 00:00:00,24.12.2017 00:00:00," 2 4567","AY","J","333"
"AY",86,"0086","01",25.11.2017 11:35:00,25.11.2017 00:00:00,01.01.1900 11:35:00,25.11.2017 03:35:00,25.11.2017 00:00:00,01.01.1900 03:35:00,25.11.2017 14:10:00,25.11.2017 00:00:00,01.01.1900 14:10:00,25.11.2017 12:10:00,25.11.2017 00:00:00,01.01.1900 12:10:00,"PEK","HEL",29.10.2017 00:00:00,24.12.2017 00:00:00,"1234567","AY","J","359"
"AY",538,"0538","01",25.11.2017 05:45:00,25.11.2017 00:00:00,01.01.1900 05:45:00,25.11.2017 03:45:00,25.11.2017 00:00:00,01.01.1900 03:45:00,25.11.2017 07:00:00,25.11.2017 00:00:00,01.01.1900 07:00:00,25.11.2017 05:00:00,25.11.2017 00:00:00,01.01.1900 05:00:00,"RVN","HEL",24.11.2017 00:00:00,04.12.2017 00:00:00,"1   56 ","AY","J","32B"
